Year,GDP,Inflation,Unemployment,Inflation_Category,GDP_Category,Unemployment_Category
1990,62048507531.0,16.65253439,17.80963636363636,Moderate,Low,Moderate
1991,45720000000.0,25.9,20.6,High,Low,Moderate
1992,48000000000.0,31.7,24.4,High,Low,Moderate
1993,49850000000.0,20.7,26.2,Moderate,Low,High
1994,42540000000.0,29.0,27.7,High,Low,High
1995,41760000000.0,29.8,31.8,High,Low,High
1996,46940000000.0,18.7,28.3,Moderate,Low,High
1997,48180000000.0,5.7,25.4,Low,Low,High
1998,48190000000.0,5.0,26.9,Low,Low,High
1999,48640000000.0,2.6,28.5,Low,Low,High
2000,54790398570.0,0.339163189,29.77,Low,Low,High
2001,5819672980430.657,4.278,27.3,Low,Low,High
2002,6065979076946.863,3.125,25.9,Low,Low,High
2003,7450207403655.571,4.313,23.7,Low,Low,Moderate
2004,8521469390040.038,4.759,17.6,Low,Moderate,Moderate
2005,10297562138630.84,1.492,15.3,Low,Moderate,Low
2006,12234648538119.85,2.837,12.3,Low,Moderate,Low
2007,14890171927624.771,3.946,13.8,Low,Moderate,Low
2008,17703413923725.12,5.181,11.3,Low,High,Low
2009,15151089295730.713,4.828,10.2,Low,Moderate,Low
2010,17208234837412.146,5.607,10.0,Low,High,Low
2011,22135079529767.562,3.857,10.0,Low,High,Low
2012,23134885820724.57,4.942,11.0,Low,High,Low
2013,22713710507370.23,8.719,9.8,Low,High,Low
2014,238943000000.0,2.916926921,10.207,Low,Low,Low
2015,187494000000.0,4.784447007,11.206,Low,Low,Low
2016,180764000000.0,6.397694803,10.202,Low,Low,Low
2017,189881000000.0,5.59111591,12.0,Low,Low,Low
2018,194554000000.0,4.269990205,12.15,Low,Low,Low
2019,193460000000.0,1.951768211,12.285,Low,Low,Low
2020,164873000000.0,2.415130941,14.04,Low,Low,Low
2021,186231000000.0,7.226063074,13.607,Low,Low,Low
2022,225638000000.0,9.265515516,12.437,Low,Low,Low
2023,247626000000.0,9.322173759,11.814,Low,Low,Low
