Year,Inflation_Category,GDP_Category,Unemployment_Category
1990,Moderate,Low,Moderate
1991,High,Low,Moderate
1992,High,Low,Moderate
1993,Moderate,Low,High
1994,High,Low,High
1995,High,Low,High
1996,Moderate,Low,High
1997,Low,Low,High
1998,Low,Low,High
1999,Low,Low,High
2000,Low,Low,High
2001,Low,Low,High
2002,Low,Low,High
2003,Low,Low,Moderate
2004,Low,Moderate,Moderate
2005,Low,Moderate,Low
2006,Low,Moderate,Low
2007,Low,Moderate,Low
2008,Low,High,Low
2009,Low,Moderate,Low
2010,Low,High,Low
2011,Low,High,Low
2012,Low,High,Low
2013,Low,High,Low
2014,Low,Low,Low
2015,Low,Low,Low
2016,Low,Low,Low
2017,Low,Low,Low
2018,Low,Low,Low
2019,Low,Low,Low
2020,Low,Low,Low
2021,Low,Low,Low
2022,Low,Low,Low
2023,Low,Low,Low
