Year,GDP
1990,62048507531.0
1991,45720000000.0
1992,48000000000.0
1993,49850000000.0
1994,42540000000.0
1995,41760000000.0
1996,46940000000.0
1997,48180000000.0
1998,48190000000.0
1999,48640000000.0
2000,54790398570.0
2001,5819672980430.657
2002,6065979076946.863
2003,7450207403655.571
2004,8521469390040.038
2005,10297562138630.84
2006,12234648538119.85
2007,14890171927624.771
2008,17703413923725.12
2009,15151089295730.713
2010,17208234837412.146
2011,22135079529767.562
2012,23134885820724.57
2013,22713710507370.23
2014,238943000000.0
2015,187494000000.0
2016,180764000000.0
2017,189881000000.0
2018,194554000000.0
2019,193460000000.0
2020,164873000000.0
2021,186231000000.0
2022,225638000000.0
2023,247626000000.0
